Judges,Date of Appointment,Whether died in office,Whether resigned from office,Date of Birth,Intended Date of Retirement,Cadre of Appointment,Parent High Court,Appointing Authority,Gender,Schooling - Whether Information available in the SC website,Graduating Institution- Whether infromation available in the SC Website,Gracuation Subject- Whether information available in SC website,institution from the judge got his/her law degree- Whether information available in SC Website,year of being awarded the law degree -Whether information available in SC Website,year of enrollment at the Bar - Whether information available in SC website,area of legal practice- Whether information available in SC Website,Chamber details- Whether information available in the SC Website,Government Emapanelment- Whether information available in SC website,Empanelment in Private Corporations- Whether information available in SC website
P.P. Naolekar,27 August 2004,No,No,29 June 1943,29 June 2008,Hc-Bar,Madhya Pradesh,collegium,Male,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Tarun Chatterjee,27 August 2004,No,No,14 January 1945,14 January 2010,Hc-Bar,Calcutta,collegium,Male,No,No,No,No,No,Yes,Yes,No,No,No
R.V. Raveendran,09 September 2005,No,No,15 October 1946,15 October 2011,Hc-Bar,Karnataka,collegium,Male,No,No,No,No,No,Yes,No,No,No,No
Altamas Kabir,09 September 2005,No,No,19 July 1948,18 July 2013,Hc-Bar,Calcutta,collegium,Male,No,No,No,No,No,Yes,Yes,No,No,No
Dalveer Bhandari,28 October 2005,No,Yes,01 October 1947,30 September 2012,Hc-Bar,Delhi,collegium,Male,No,No,Yes,No,No,No,Yes,No,No,No
Lokeshwar Singh Panta,03 February 2006,No,No,23 April 1944,23 April 2009,Hc-Bar,Himachal Pradesh,collegium,Male,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
Markandey Katju,10 April 2006,No,No,20 September 1946,19 September 2011,Hc-Bar,Allahabad,collegium,Male,No,No,No,Yes,Yes,No,Yes,No,Yes,No
D.K. Jain,10 April 2006,No,No,25 January 1948,24 January 2013,Hc-Bar,Delhi,collegium,Male,No,No,No,No,No,Yes,Yes,No,Yes,No
B. Sudershan Reddy,12 January 2007,No,No,08 July 1946,07 July 2011,Hc-Bar,Andhra Pradesh,collegium,Male,No,No,No,No,No,Yes,Yes,No,Yes,No
V.S. Sirpukar,12 January 2007,No,No,22 August 1946,21 August 2011,Hc-Bar,Bombay,collegium,Male,No,Yes,No,Yes,No,No,No,No,No,No
H.S. Bedi,12 January 2007,No,No,05 September 1946,04 September 2011,Hc-Bar,Punjab and Haryana,collegium,Male,No,No,No,No,No,Yes,Yes,No,Yes,No
P Sathasivam,21 August 2007,No,No,27 April 1949,27 April 2014,Hc-Bar,Madras,collegium,Male,No,No,No,No,No,Yes,Yes,No,Yes,No
J.M. Panchal,12 November 2007,No,No,06 October 1946,05 October 2011,Hc-Bar,Gujarat,collegium,Male,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No
Aftab Alam,12 November 2007,No,No,19 April 1948,18 April 2013,Hc-Bar,Patna,collegium,Male,No,No,No,No,No,Yes,Yes,No,Yes,No
G.S. Singhvi,12 November 2007,No,No,12 December 1948,12 December 2013,Hc-Bar,Rajasthan,collegium,Male,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
Mukundakam Sharma,09 April 2008,No,No,18 September 1946,17 September 2011,Hc-Bar,Assam,collegium,Male,Yes,Yes,No,Yes,No,No,No,No,Yes,No
Cyriac Joseph,07 July 2008,No,No,28 January 1947,27 January 2012,Hc-Bar,Kerala,collegium,Male,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No
A.K. Ganguly,17 December 2008,No,No,03 February 1947,03 February 2012,Hc-Bar,Calcutta,collegium,Male,No,No,No,Yes,Yes,No,No,No,No,No
R.M. Lodha,17 December 2008,No,No,28 September 1949,27 September 2014,Hc-Bar,Rajasthan,collegium,Male,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
H.L. Dattu,17 December 2008,No,No,03 December 1950,02 December 2015,Hc-Bar,Karnataka,collegium,Male,No,No,No,No,No,Yes,Yes,No,Yes,No
Deepak Verma,11 May 2009,No,No,28 August 1947,28 August 2012,Hc-Bar,Madhya Pradesh,collegium,Male,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No
B.S. Chauhan,11 May 2009,No,No,02 July 1949,01 July 2014,Hc-Bar,Allahabad,collegium,Male,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
K.S. Panicker Radhakrishnan,17 November 2009,No,No,15 May 1949,14 May 2014,Hc-Bar,Kerala,collegium,Male,No,No,No,No,No,Yes,No,No,Yes,No
A.K. Patnaik,17 November 2009,No,No,03 June 1949,02 June 2014,Hc-Bar,Orissa,collegium,Male,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
S.S. Nijjar,17 November 2009,No,No,07 June 1949,06 June 2014,Hc-Bar,Punjab and Haryana,collegium,Male,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
T.S. Thakur,17 November 2009,No,No,04 January 1952,04 January 2017,Hc-Bar,Jammu and Kashmir,collegium,Male,No,No,No,No,No,Yes,Yes,Yes,No,No
Swatanter Kumar,18 December 2009,No,Yes,31 December 1947,30 December 2012,Hc-Bar,Delhi,collegium,Male,No,No,No,No,No,Yes,No,No,No,No
C.K. Prasad,08 February 2010,No,No,15 July 1949,14 July 2014,Hc-Bar,Patna,collegium,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
H.L. Gokhale,30 April 2010,No,No,10 March 1949,10 March 2014,Hc-Bar,Bombay,collegium,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
Gyan Sudha Mishra,30 April 2010,No,No,28 April 1949,27 April 2014,Hc-Bar,Patna,collegium,Female,No,No,No,No,No,No,No,No,No,No
Anil R Dave,30 April 2010,No,No,19 November 1951,18 November 2016,Hc-Bar,Gujarat,collegium,Male,No,No,No,No,No,Yes,Yes,No,Yes,No
Ranjana Prakash Desai,13 September 2011,No,No,30 October 1949,29 October 2014,Hc-Bar,Bombay,collegium,Female,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
S.J. Mukhopadhyaya,13 September 2011,No,No,15 March 1950,14 March 2015,Hc-Bar,Patna,collegium,Male,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No
Jagdish Singh Khehar,13 September 2011,No,No,28 August 1952,27 August 2017,Hc-Bar,Punjab and Haryana,collegium,Male,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No
Jasti Chelameswar,10 October 2011,No,No,23 June 1953,22 June 2018,Hc-Bar,Andhra Pradesh,collegium,Male,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Dipak Misra,10 October 2011,No,No,03 October 1953,02 October 2018,Hc-Bar,Orissa,collegium,Male,No,No,No,No,No,Yes,Yes,No,No,No
Fakkir Mohamed Ibrahim Kalifulla,02 April 2012,No,No,23 July 1951,22 July 2016,Hc-Bar,Madras,collegium,Male,No,No,No,No,No,Yes,Yes,Yes,Yes,No
Ranjan Gogoi,23 April 2012,No,No,18 November 1954,17 November 2019,Hc-Bar,Assam,collegium,Male,No,No,No,No,No,Yes,No,No,No,No
Madan B. Lokur,04 June 2012,No,No,31 December 1953,30 December 2018,Hc-Bar,Delhi,collegium,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Vikramjit Sen,24 December 2012,No,No,31 December 1950,30 December 2015,Hc-Bar,Delhi,collegium,Male,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No
M.Y. Ekbal,24 December 2012,No,No,13 February 1951,12 February 2016,Hc-Bar,Patna,collegium,Male,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No
V. Gopala Gowda,24 December 2012,No,No,06 October 1951,05 October 2016,Hc-Bar,Karnataka,collegium,Male,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Pinaki Chandra Ghosh,08 March 2013,No,No,28 April 1952,27 May 2017,Hc-Bar,Calcutta,collegium,Male,No,Yes,No,Yes,No,Yes,Yes,No,No,No
Kurian Joseph,08 March 2013,No,No,30 November 1953,29 November 2018,Hc-Bar,Kerala,collegium,Male,Yes,Yes,No,Yes,No,No,No,No,No,No
Arjan Kumar Sikri,12 April 2013,No,No,07 March 1954,06 March 2019,Hc-Bar,Delhi,collegium,Male,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No
Sharad Arvind Bobde,12 April 2013,No,No,24 April 1956,23 April 2021,Hc-Bar,Bombay,collegium,Male,No,Yes,No,Yes,No,Yes,No,No,No,No
Chokalingam Nagappan,19 September 2013,No,No,04 October 1951,03 October 2016,Hc-Bar,Madras,collegium,Male,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No
Shiva Kirti Singh,19 September 2013,No,No,13 November 1951,11 November 2016,Hc-Bar,Patna,collegium,Male,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
R.K. Agrawal,17 February 2014,No,No,05 May 1953,04 May 2018,Hc-Bar,Allahabad,collegium,Male,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No
N.V. Ramana,17 February 2014,No,No,27 August 1957,26 August 2022,Hc-Bar,Andhra Pradesh,collegium,Male,No,No,No,No,No,Yes,Yes,No,Yes,No
Adarsh Kumar Goel,07 July 2014,No,No,07 July 1953,06 July 2018,Hc-Bar,Punjab and Haryana,collegium,Male,No,Yes,No,Yes,No,Yes,No,No,No,No
Arun Mishra,07 July 2014,No,No,03 September 1955,02 September 2020,Hc-Bar,Madhya Pradesh,collegium,Male,No,No,No,No,No,Yes,Yes,No,No,No
R.F. Nariman,07 July 2014,No,No,13 August 1956,12 August 2021,Hc-Bar,Appointed directly from the Bar,collegium,Male,Yes,Yes,No,Yes,No,No,Yes,No,No,No
Prafulla Chandra Pant,13 August 2014,No,No,30 August 1952,29 August 2017,Hc-Bar,Uttarakhand,collegium,Male,No,No,No,No,No,Yes,No,No,No,No
Abhay Manohar Sapre,13 August 2014,No,No,28 August 1954,27 August 2019,Hc-Bar,Madhya Pradesh,collegium,Male,No,No,No,No,No,Yes,Yes,No,No,No
R. Banumathi,13 August 2014,No,No,20 July 1955,19 July 2020,Hc-Bar,Madras,collegium,Female,No,No,No,No,No,Yes,No,No,No,No
Uday Umesh Lalit,13 August 2014,No,No,09 November 1957,08 November 2022,Hc-Bar,Appointed directly from the Bar,collegium,Male,No,No,No,No,No,Yes,No,No,Yes,No
Amitava Roy,27 February 2015,No,No,01 March 1953,01 March 2018,Hc-Bar,Assam,collegium,Male,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
Ashok Bhushan,13 May 2016,No,No,05 July 1956,04 July 2021,Hc-Bar,Kerala,collegium,Male,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
L. Nageswara Rao,13 May 2016,No,No,08 June 1957,07 June 2022,Hc-Bar,Appointed directly from the Bar,collegium,Male,No,Yes,No,Yes,No,Yes,No,No,Yes,No
A.M. Khanwilkar,13 May 2016,No,No,30 July 1957,29 July 2022,Hc-Bar,Bombay,collegium,Male,No,Yes,No,Yes,No,Yes,No,No,No,No
D.Y. Chandrachud,13 May 2016,No,No,11 November 1959,10 November 2024,Hc-Bar,Bombay,collegium,Male,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Deepak Gupta,17 February 2017,No,No,07 May 1955,06 May 2020,Hc-Bar,Himachal Pradesh,collegium,Male,No,No,No,Yes,Yes,No,No,No,No,No
Navin Sinha,17 February 2017,No,No,19 August 1956,18 August 2021,Hc-Bar,Patna,collegium,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
S. Abdul Nazeer,17 February 2017,No,No,05 January 1958,04 January 2023,Hc-Bar,Karnataka,collegium,Male,No,No,No,No,No,Yes,No,No,No,No
Mohan M. Shantanagoudar,17 February 2017,No,No,05 May 1958,04 May 2023,Hc-Bar,Karnataka,collegium,Male,No,No,No,No,No,Yes,Yes,Yes,Yes,No
Sanjay Kishan Kaul,17 February 2017,No,No,26 December 1958,25 December 2023,Hc-Bar,Delhi,collegium,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Indu Malhotra,27 April 2018,No,No,14 March 1956,13 March 2021,Hc-Bar,Appointed directly from the Bar,collegium,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Vineet Saran,07 August 2018,No,No,11 May 1957,10 May 2022,Hc-Bar,Allahabad,collegium,Male,No,No,No,No,No,No,No,No,No,No
Indira Bannerjee,07 August 2018,No,No,24 September 1957,23 September 2022,Hc-Bar,Calcutta,collegium,Female,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No
K.M. Joseph,07 August 2018,No,No,17 June 1958,16 June 2023,Hc-Bar,Kerala,collegium,Male,No,No,No,No,No,No,No,No,No,No
R. Subhash Reddy,02 November 2018,No,No,01 May 1957,04 January 2022,Hc-Bar,Andhra Pradesh,collegium,Male,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
Hemant Gupta,02 November 2018,No,No,17 October 1957,16 October 2022,Hc-Bar,Punjab and Haryana,collegium,Male,No,No,No,No,No,Yes,Yes,No,Yes,No
Mukeshkumar Rasikbhai Shah,02 November 2018,No,No,16 May 1958,15 May 2023,Hc-Bar,Gujarat,collegium,Male,No,No,No,No,No,Yes,Yes,No,No,No
Ajay Rastogi,02 November 2018,No,No,18 June 1958,17 June 2023,Hc-Bar,Rajasthan,collegium,Male,No,No,No,No,No,Yes,Yes,No,Yes,No
Dinesh Maheshwari,18 January 2019,No,No,15 May 1958,14 May 2023,Hc-Bar,Rajasthan,collegium,Male,No,No,No,No,No,No,No,No,No,No
Sanjeev Khanna,18 January 2019,No,No,14 May 1960,13 May 2025,Hc-Bar,Delhi,collegium,Male,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
Aniruddha Bose,24 May 2019,No,No,11 April 1959,10 April 2024,Hc-Bar,Calcutta,collegium,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Ajjikutira Somaiah Bopanah,24 May 2019,No,No,20 May 1959,19 May 2024,Hc-Bar,Karnataka,collegium,Male,No,No,No,No,No,Yes,Yes,No,No,No
Bhushan RamaKrishna Gavai,24 May 2019,No,No,24 November 1960,23 November 2025,Hc-Bar,Bombay,collegium,Male,No,No,No,No,No,Yes,Yes,Yes,Yes,No
Surya Kant,24 May 2019,No,No,10 February 1962,09 February 2027,Hc-Bar,Punjab and Haryana,collegium,Male,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No
Krishna Murari,23 September 2019,No,No,09 July 1958,08 July 2023,Hc-Bar,Allahabad,Collegium,Male,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
Shripathi Ravindra Bhat,23 September 2019,No,No,21 October 1958,20 October 2023,Hc-Bar,Delhi,Collegium,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
V. Ramasubramanian,23 September 2019,No,No,30 June 1958,29 June 2023,Hc-Bar,Telengana,Collegium,Male,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No
Hrishikesh Roy,23 September 2019,No,No,01 February 1960,31 January 2023,Hc-Bar,Gauhati,collegium,Male,No,No,No,Yes,Yes,No,No,No,No,No
